error,real_correct,predicted_correct,diff_r,diff_p
"so , you can help them and earn quiete enough .","so , you can help them and earn quite enough .","So, you can help them and earn quite enough.",{'quite'},"{'So,', 'enough.', 'quite'}"
they are pretty cute and quiete .,they are pretty cute and quiet .,They are pretty cute and quiet.,{'quiet'},"{'They', 'quiet.'}"
"as regards painting , i know a lot about it since my grandmother taugh me when i was five years old .","as regards painting , i know a lot about it since my grandmother taught me when i was five years old .","As regards painting, I know a lot about it since my grandmother taught me when I was five years old.",{'taught'},"{'As', 'painting,', 'I', 'old.', 'taught'}"
that was taugh for a single girl in china .,that was tough for a single girl in china .,That was tough for a single girl in China.,{'tough'},"{'That', 'tough', 'China.'}"
thank you very mutch !,thank you very much !,Thank you very much!,{'much'},"{'Thank', 'much!'}"
"in the practice mutch , i got punched in the stomach and fell down !","in the practice match , i got punched in the stomach and fell down !","In the practice match, I got punched in the stomach and fell down!",{'match'},"{'match,', 'I', 'down!', 'In'}"
"after a few seconds of tought i went straight to pat . "" why , why did you do that ? ""","after a few seconds of thought i went straight to pat . "" why , why did you do that ? ""","After a few seconds of thought I went straight to pat. "" Why, why did you do that? """,{'thought'},"{'thought', 'I', 'that?', 'After', 'pat.', 'Why,'}"
"i tought that dany brook , who is my favourite actor , would perform in that show .","i thought that dany brook , who is my favourite actor , would perform in that show .","I thought that Dany brook, who is my favorite actor, would perform in that show.",{'thought'},"{'actor,', 'thought', 'I', 'favorite', 'brook,', 'show.', 'Dany'}"
"and when we understood the internet , we tought that meeting people from other countries and being able "" to chat "" with them was the height of technology .","and when we understood the internet , we thought that meeting people from other countries and being able "" to chat "" with them was the height of technology .","And when we understood the internet, we thought that meeting people from other countries and being able "" to chat "" with them was the height of technology.",{'thought'},"{'technology.', 'And', 'thought', 'internet,'}"
"as you know , we are in england to learn your language and also to learn about your lifestyle , and we tought this show would be a good opportunity for us to discover this aspect of your country !","as you know , we are in england to learn your language and also to learn about your lifestyle , and we thought this show would be a good opportunity for us to discover this aspect of your country !","As you know, we are in England to learn your language and also to learn about your lifestyle, and we thought this show would be a good opportunity for us to discover this aspect of your country!",{'thought'},"{'As', 'know,', 'lifestyle,', 'thought', 'country!', 'England'}"
"i tought i would never need a mobile phone , but my mum and dad gave me one for christmas last year and now i ca n't live without it !","i thought i would never need a mobile phone , but my mum and dad gave me one for christmas last year and now i ca n't live without it !","I thought I would never need a mobile phone, but my mum and dad gave me one for Christmas last year and now I can't live without it!",{'thought'},"{'thought', 'it!', 'I', ""can't"", 'phone,', 'Christmas'}"
"i also like surfing . i think it is a dangerous sport , but i know how to do it , because of the fact that last year a professional surfer tought me .","i also like surfing . i think it is a dangerous sport , but i know how to do it , because of the fact that last year a professional surfer taught me .","I also like surfing. I think it is a dangerous sport, but I know how doing it, because of the fact that last year a professional surfer taught me.",{'taught'},"{'I', 'doing', 'me.', 'taught', 'it,', 'surfing.', 'sport,'}"
"not only was i a member of the swimming team in our school , but also i had been tought by my father since i was five years old .","not only was i a member of the swimming team in our school , but also i had been taught by my father since i was five years old .","Not only was I a member of the swimming team in our school, but also I had been taught by my father since I was five years old.",{'taught'},"{'I', 'school,', 'old.', 'Not', 'taught'}"
"as regards painting , i know a lot about it since my grandmother tought me when i was five years old .","as regards painting , i know a lot about it since my grandmother taught me when i was five years old .","As regards painting, I know a lot about it since my grandmother taught me when I was five years old.",{'taught'},"{'As', 'painting,', 'I', 'old.', 'taught'}"
i met a lot of different people and they all tought me something new about behaviour or compassion .,i met a lot of different people and they all taught me something new about behaviour or compassion .,I met a lot of different people and they all taught me something new about behavior or compassion.,{'taught'},"{'compassion.', 'I', 'behavior', 'taught'}"
they tought me specially .,they taught me specially .,They taught me specially.,{'taught'},"{'They', 'taught', 'specially.'}"
"lastly , there is a recycling problem , wich many people do not care about .","lastly , there is a recycling problem , which many people do not care about .","Lastly, there is a recycling problem, which many people do not care about.",{'which'},"{'which', 'Lastly,', 'problem,', 'about.'}"
"firstly , the great boom in mass communication wich happened at the beginning of our decade , with the development of telephones , radio stations , television and even satellites , and of course , the internet , gave ordinary people the chance to take off on a trip all over the world , and this allowed health and education research to increase as well .","firstly , the great boom in mass communication which happened at the beginning of our decade , with the development of telephones , radio stations , television and even satellites , and of course , the internet , gave ordinary people the chance to take off on a trip all over the world , and this allowed health and education research to increase as well .","Firstly, the great boom in mass communication which happened at the beginning of our decade, with the development of telephones, radio stations, television and even satellites, and of course, the internet, gave ordinary people the chance to take off on a trip all over the world, and this allowed health and education research to increase as well.",{'which'},"{'course,', 'which', 'well.', 'stations,', 'decade,', 'telephones,', 'Firstly,', 'world,', 'internet,', 'satellites,'}"
i 'd seen your advertisement wich recommended the play ' over the rainbow ' and i liked it very much .,i 'd seen your advertisement which recommended the play ' over the rainbow ' and i liked it very much .,I 'd seen your advertisement which recommended the play ' over the rainbow ' and I liked it very much.,{'which'},"{'which', 'I', 'much.'}"
"there are the natural materials on one side whereas on the other side the fashion industry produces more and more synthetic materials , wich relay on the production cost .","there are the natural materials on one side whereas on the other side the fashion industry produces more and more synthetic materials , which relay on the production cost .","There are the natural materials on one side whereas on the other side the fashion industry produces more and more synthetic materials, which relay on the production cost.",{'which'},"{'which', 'There', 'materials,', 'cost.'}"
"my main work was to take people to their seats because of a concert hall , wich was the millennium dome .","my main work was to take people to their seats because of a concert hall , which was the millennium dome .","My main work was to take people to their seats because of a concert hall, which was the millennium dome.",{'which'},"{'which', 'My', 'dome.', 'hall,'}"
"therefore i am thinking of selling my car , wich has changed my life over the last 10 years , wich has given me a kind of freedom , wich has gone with me to all sorts of fantastic places , and changed my life for a new life : without a car .","therefore i am thinking of selling my car , which has changed my life over the last 10 years , which has given me a kind of freedom , which has gone with me to all sorts of fantastic places , and changed my life for a new life : without a car .","Therefore, I am thinking of selling my car, which has changed my life over the last 10 years, which has given me a kind of freedom, which has gone with me to all sorts of fantastic places, and changed my life for a new life: without a car.",{'which'},"{'which', 'Therefore,', 'life:', 'places,', 'I', 'years,', 'car.', 'freedom,', 'car,'}"
"for example , recently i was shopping at the market , wich is located in the centre of our town .","for example , recently i was shopping at the market , which is located in the centre of our town .","For example, recently I was shopping at the market, which is located in the center of our town.",{'which'},"{'which', 'I', 'town.', 'market,', 'center', 'example,', 'For'}"
from the list of activities in wich i will have a chance to compete i have chosen basketball and swimming .,from the list of activities in which i will have a chance to compete i have chosen basketball and swimming .,From the list of activities in which I will have a chance to compete I have chosen basketball and swimming.,{'which'},"{'which', 'I', 'From', 'swimming.'}"
we live surrounded by inventions wich help as through the day .,we live surrounded by inventions which help as through the day .,We live surrounded by inventions which help us through the day.,{'which'},"{'We', 'which', 'us', 'day.'}"
"to summarize , the modern technologies give you and allow you to do many things wich would be impossible in the past but also creates many problems .","to summarize , the modern technologies give you and allow you to do many things which would be impossible in the past but also creates many problems .","To summarize, the modern technologies give you and allow you to do many things which would be impossible in the past but also creates many problems.",{'which'},"{'which', 'summarize,', 'problems.', 'To'}"
"actually most people work hard to earn their money and consequently , the occasion on wich this money is spent to buy something useful , or simply something they like , should be considered a very pleasant occasion .","actually most people work hard to earn their money and consequently , the occasion on which this money is spent to buy something useful , or simply something they like , should be considered a very pleasant occasion .","Actually, most people work hard to earn their money and consequently, the occasion on which this money is spent to buy something useful, or simply something they like, should be considered a very pleasant occasion.",{'which'},"{'which', 'like,', 'Actually,', 'occasion.', 'consequently,', 'useful,'}"
"finally in my opinion i wich we would dress more as we did in the past , using natural material . we must think more about the environment and live closer to nature .","finally in my opinion i wish we would dress more as we did in the past , using natural material . we must think more about the environment and live closer to nature .","Finally, in my opinion, I wish we would dress more as we did in the past, using natural material. We must think more about the environment and live closer to nature.",{'wish'},"{'nature.', 'wish', 'I', 'opinion,', 'Finally,', 'We', 'past,', 'material.'}"
i wich that my accommodation at camp california it must be in a tent .,i wish that my accommodation at camp california it must be in a tent .,I wish that my accommodation in camp California it must be in a tent.,{'wish'},"{'wish', 'I', 'tent.', 'California'}"
i hope you will enjoy the visit and i wich you a nice holiday in yverdon .,i hope you will enjoy the visit and i wish you a nice holiday in yverdon .,I hope you will enjoy the visit and I wish you a nice holiday in Yverdon.,{'wish'},"{'wish', 'I', 'Yverdon.'}"
"travelling in july , i have to say , would be perfect for me because my birthday is on the 24th of that month and i wich to spend my birthday in the best way possible , so that means there .","travelling in july , i have to say , would be perfect for me because my birthday is on the 24th of that month and i wish to spend my birthday in the best way possible , so that means there .","Travelling in July, I have to say, would be perfect for me because my birthday is on the 24th of that month and I wish to spend my birthday in the best way possible, so that means there.",{'wish'},"{'say,', 'possible,', 'wish', 'I', 'there.', 'July,', 'Travelling'}"
it was my dream . i wich my daddy,it was my dream . i wish my daddy,It was my dream. I wish my daddy,{'wish'},"{'dream.', 'wish', 'I', 'It'}"
i received a paper in which i was told about a play you are putting on and of the advantages i would get if i went to see it . i wich that had never happened .,i received a paper in which i was told about a play you are putting on and of the advantages i would get if i went to see it . i wish that had never happened .,I received a paper in which I was told about a play you are putting on and of the advantages I would get if I went to see it. I wish that had never happened.,{'wish'},"{'wish', 'I', 'it.', 'happened.'}"
"everybody will wear anything he / she likes , choosing clothes from any century they wich without this being strange .","everybody will wear anything he / she likes , choosing clothes from any century they wish without this being strange .","Everybody will wear anything he / she likes, choosing clothes from any century, they wish without this being strange.",{'wish'},"{'Everybody', 'century,', 'strange.', 'wish', 'likes,'}"
"however , there was one person who told me he was n't happy at all with the phone , because he used to write a lot , especially at christmas when he wanted to wich all his friends a very nice christmas but now everybody phones him , ending a very old tradition .","however , there was one person who told me he was n't happy at all with the phone , because he used to write a lot , especially at christmas when he wanted to wish all his friends a very nice christmas but now everybody phones him , ending a very old tradition .","However, there was one person who told me he wasn't happy at all with the phone, because he used to write a lot, especially at Christmas when he wanted to wish all his friends a very nice Christmas but now everybody phones him, ending a very old tradition.",{'wish'},"{'However,', 'wish', 'tradition.', 'phone,', 'him,', 'Christmas', ""wasn't"", 'lot,'}"
"some people use them in their work , others wich to sit in one by the end of the day and for some other people a wheelchair represents the possibility of movement .","some people use them in their work , others wish to sit in one by the end of the day and for some other people a wheelchair represents the possibility of movement .","Some people use them in their work, others wish to sit in one by the end of the day and for some other people a wheelchair represents the possibility of movement.",{'wish'},"{'movement.', 'wish', 'Some', 'work,'}"
"I have just recieved the letter , which lets me know that I have won the first prize .","I have just received the letter , which lets me know that I have won the first prize .","I have just received the letter, which lets me know that I have won the first prize.",{'received'},"{'letter,', 'received', 'prize.'}"
This is because I intend to take an examination in Septenber .,This is because I intend to take an examination in September .,This is because I intend to take an examination in September.,{'September'},{'September.'}
"And recently , I have been practicing tennis as a school activity .","And recently , I have been practising tennis as a school activity .","And recently, I have been practicing tennis as a school activity.",{'practising'},"{'recently,', 'activity.'}"
The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practicing .,The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practising .,The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practicing.,{'practising'},{'practicing.'}
Can you send me a letter back writing what happend to you recently ?,Can you send me a letter back writing what happened to you recently ?,Can you send me a letter back writing what happened to you recently?,{'happened'},"{'recently?', 'happened'}"
"Finally , what kind of wheather is waiting for us ?","Finally , what kind of weather is waiting for us ?","Finally, what kind of weather is waiting for us?",{'weather'},"{'us?', 'weather', 'Finally,'}"
"Surprisily , there were no discounds .","Surprisingly , there were no discounts .","Surprisily, there were no discounts.","{'Surprisingly', 'discounts'}","{'Surprisily,', 'discounts.'}"
"She just remembered it ought to be a secret , and she became really embarassed .","She just remembered it ought to be a secret , and she became really embarrassed .","She just remembered it ought to be a secret, and she became really impressed.",{'embarrassed'},"{'secret,', 'impressed.'}"
I swim really well and I am a proffesional basketball player .,I swim really well and I am a professional basketball player .,I swim really well and I am a professional basketball player.,{'professional'},"{'professional', 'player.'}"
It all started when one of the organizers asked me to help him at a concert of my favorite band .,It all started when one of the organizers asked me to help him at a concert of my favourite band .,It all started when one of the organizers asked me to help him at a concert of my favorite band.,{'favourite'},{'band.'}
I am writting to you about the show .,I am writing to you about the show .,I am writing to you about the show.,{'writing'},"{'show.', 'writing'}"
"The woman who sold me a ticket was very roud to me , actually she started swearing at me .","The woman who sold me a ticket was very rude to me , actually she started swearing at me .","The woman who sold me a ticket was very rude to me, actually she started swearing at me.",{'rude'},"{'rude', 'me,', 'me.'}"
"They were just playing and , by acsident , Peter shot him .","They were just playing and , by accident , Peter shot him .","They were just playing and, by accident, Peter shot him.",{'accident'},"{'accident,', 'him.', 'and,'}"
"He promised to keep it secret . The next morning we had an arguiment with Pat . The 3 of us were shouting at each other . In short , Pat left us .","He promised to keep it secret . The next morning we had an argument with Pat . The 3 of us were shouting at each other . In short , Pat left us .","He promised to keep it secret. The next morning we had an argument with Pat. The 3 of us were shouting at each other. In short, Pat left us.",{'argument'},"{'short,', 'argument', 'Pat.', 'secret.', 'us.', 'other.'}"
"Secondely , I am interested in trying something that I have never done , so I would like to do sailing .","Secondly , I am interested in trying something that I have never done , so I would like to do sailing .","Secondly, I am interested in trying something that I have never done, so I would like to do the sailing.",{'Secondly'},"{'sailing.', 'Secondly,', 'the', 'done,'}"
First of all I have to say that the whole festival was a greatful success and I also think you chose an appropriate title for the leaflet .,First of all I have to say that the whole festival was a great success and I also think you chose an appropriate title for the leaflet .,First of all I have to say that the whole festival was a grateful success and I also think you chose an appropriate title for the leaflet.,{'great'},"{'grateful', 'leaflet.'}"
Nearly at the end of this letter I have to say that the idea of the weekend ticket was really good because it gave the people the opportunity to attemp for a whole weekend for a cheap price .,Nearly at the end of this letter I have to say that the idea of the weekend ticket was really good because it gave the people the opportunity to attend for a whole weekend for a cheap price .,Nearly at the end of this letter I have to say that the idea of the weekend ticket was really good because it gave the people the opportunity to attempt for a whole weekend for a cheap price.,{'attend'},"{'attempt', 'price.'}"
I am writing with regard to your advertisment .,I am writing with regard to your advertisement .,I am writing with regard to your advertisement.,{'advertisement'},{'advertisement.'}
It was my favorite musical .,It was my favourite musical .,It was my favorite musical.,{'favourite'},{'musical.'}
I was very hopefull that I was going to have a good time .,I was very hopeful that I was going to have a good time .,I was very hopeful that I was going to have a good time.,{'hopeful'},"{'hopeful', 'time.'}"
The worst thing is that I could n't see my favorite actor .,The worst thing is that I could n't see my favourite actor .,The worst thing is that I couldn't see my favorite actor.,{'favourite'},"{'actor.', ""couldn't""}"
I was so dissapointted about that .,I was so disappointed about that .,I was so disappointed about that.,{'disappointed'},"{'that.', 'disappointed'}"
I could n't consentrate on the play any more .,I could n't concentrate on the play any more .,I could not concentrate on the play anymore.,{'concentrate'},"{'not', 'concentrate', 'anymore.'}"
In contrast to the advertisment everything was disapointing .,In contrast to the advertisement everything was disappointing .,In contrast to the advertisement everything was disappointing.,"{'disappointing', 'advertisement'}","{'advertisement', 'disappointing.'}"
"These days we can use a computer , television and some sophisticated equipment , which were unusuall once .","These days we can use a computer , television and some sophisticated equipment , which were unusual once .","These days we can use a computer, television and some sophisticated equipment, which were unusually once.",{'unusual'},"{'unusually', 'computer,', 'once.', 'equipment,'}"
Children play with computers instead of the usuall toys .,Children play with computers instead of the usual toys .,Children play with computers instead of the usual toys.,{'usual'},"{'toys.', 'usual'}"
There has been a change in the relatinships between people .,There has been a change in the relationships between people .,There has been a change in the relationships between people.,{'relationships'},"{'people.', 'relationships'}"
We have noticed the environmential damage in recent years .,We have noticed the environmental damage in recent years .,We have noticed the environmental damage in recent years.,{'environmental'},"{'years.', 'environmental'}"
"I think this festival is a great idea because it 's an opportunity to see and to appreciate art , but I also think there are some things thas could be changed .","I think this festival is a great idea because it 's an opportunity to see and to appreciate art , but I also think there are some things that could be changed .","I think this festival is a great idea because it's an opportunity to see and to appreciate art, but I also think there are some things these could be changed.",{'that'},"{'these', 'changed.', 'art,', ""it's""}"
I noticed that the artists were from only six countries insted that from around the world .,I noticed that the artists were from only six countries instead that from around the world .,I noticed that the artists were from only six countries instead that from around the world.,{'instead'},"{'world.', 'instead'}"
I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH.,{'THANK'},{'GREENWICH.'}
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASES , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, IN SOME CASS, COSTS MORE THAN THEY DESERVE TO PAY.",{'CASES'},"{'THAT,', 'CASS,', 'PAY.'}"
"Also , I want to say that the plays and films were exellent , but there were n't enough of them for me .","Also , I want to say that the plays and films were excellent , but there were n't enough of them for me .","Also, I want to say that the plays and films were excellent, but there weren't enough of them for me.",{'excellent'},"{'Also,', ""weren't"", 'excellent,', 'me.'}"
In our Acadamy we are not allowed to smoke .,In our Academy we are not allowed to smoke .,In our academy we are not allowed to smoke.,{'Academy'},"{'academy', 'smoke.'}"
I was trully dissapointed by it .,I was truly disappointed by it .,I was truly disappointed by it.,"{'disappointed', 'truly'}","{'it.', 'disappointed', 'truly'}"
"Secondly , I had to wait fourty - five minutes before the show finally began .","Secondly , I had to wait forty - five minutes before the show finally began .","Secondly, I had to wait forty - five minutes before the show finally began.",{'forty'},"{'Secondly,', 'forty', 'began.'}"
I 'd like you to send the money to this adress : ul Taklowa 10,I 'd like you to send the money to this address : ul Taklowa 10,I'd like you to send the money to this address: UL Taklowa 10,{'address'},"{""I'd"", 'UL', 'address:'}"
It is a dream becames true and was really unexpected for me !,It is a dream come true and was really unexpected for me !,It is a dream becomes true and was really unexpected for me!,{'come'},"{'me!', 'becomes'}"
"If not , what do you sugest ?","If not , what do you suggest ?","If not, what do you suggest?",{'suggest'},"{'not,', 'suggest?'}"
"The festival was excenent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways, and in particular it being an international festival was a challenging, but brilliant idea.",{'excellent'},"{'ways,', 'challenging,', 'excellent', 'idea.'}"
MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLAINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT.,{'COMPLAINTS'},{'NIGHT.'}
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAIZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30, AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 (FORTY) MINUTES AND THE SHOW HADN'T STARTED YET... I MEAN IT WAS AMAIZING!",{'AMAZING'},"{'AMAIZING!', '19.30,', 'YET...', '(FORTY)'}"
I COULDN'T BELIVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIEVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIVE IT. HOW CAN THIS CLASS OF THEATRE BE SO..,{'BELIEVE'},"{'SO..', 'IT.'}"
"OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMAND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING, IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK!",{'DEMAND'},"{'THING,', 'BACK!'}"
MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE CONFORTNESSCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE COMFORTCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS. I MEAN THE MORE THE TECHNOLOGY ADVANCES; THE MORE CONFORTNESSCOMFORTABLE WE GET.,{'COMFORTCOMFORTABLE'},"{'WAYS.', 'ADVANCES;', 'GET.'}"
BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PASSIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE.,{'PASSIVE'},{'ACTIVE.'}
"THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING COMFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE, WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO.",{'COMFORTABLE'},"{'TO.', 'CONFORTABLE,'}"
"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?","Everybody attented go to the show , funny , and happy in the end , and what have we go then ?","Everybody attented go to the show, funny, and happy in the end, and what have we gone then?",{'happy'},"{'then?', 'show,', 'happy', 'gone', 'end,', 'funny,'}"
Disapponted !,Disappointed !,Disappointed!,{'Disappointed'},{'Disappointed!'}
"If you could not manage the programe , why did n't you informe people before the programe started ?","If you could not manage the programme , why did n't you inform people before the programme started ?","If you could not manage the program, why didn't you inform people before the program started?","{'programme', 'inform'}","{'started?', 'inform', 'program', 'program,', ""didn't""}"
"I tought you inderstood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understand '; please send money back to me, you know why, don't answer me?","{'thought', 'understood'}","{'understand', 'thought', ""';"", 'me,', ""don't"", 'why,', 'me?'}"
"Now we know , our world has developed to new world , becase we have high technology to do .","Now we know , our world has developed to new world , because we have high technology to do .","Now we know, our world has developed two new world, because we have high technology to do.",{'because'},"{'know,', 'two', 'because', 'world,', 'do.'}"
"Today , teachnology is a part of life .","Today , technology is a part of life .","Today, technology is a part of life.",{'technology'},"{'technology', 'Today,', 'life.'}"
"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It started from got up in the morning , we have the machine help us to cook , iron , cleaning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It started  getting up in the morning, we have the machine help us to cook, iron, cleaning, washing, and then we went out to work, there is car, sky train to travel to help us conveniently and quickly.",{'cleaning'},"{'is', 'work,', 'cook,', 'cleaning,', 'getting', 'morning,', 'washing,', 'iron,', 'car,', 'quickly.', 'conveniently'}"
"We appreciated the mordern technology changed my daily life for help every easy and quickly , we have time to do many things .","We appreciated the modern technology changed my daily life for help every easy and quickly , we have time to do many things .","We appreciated the modern technology changed my daily life to help every easy and quickly, we have time to do many things.",{'modern'},"{'things.', 'modern', 'quickly,'}"
"It is a good start to go on a sightseeing bus on Monday morning , because we can se all the famous buildings in a few hours .","It is a good start to go on a sightseeing bus on Monday morning , because we can see all the famous buildings in a few hours .","It is a good start to go on a sightseeing bus on Monday morning, because we can see all the famous buildings in a few hours.",{'see'},"{'morning,', 'see', 'hours.'}"
"On Wednesday after we have viseted the National Art Gallery , we can have a chat about our next holiday during the free time in the afternoon .","On Wednesday after we have visited the National Art Gallery , we can have a chat about our next holiday during the free time in the afternoon .","On Wednesday  we have visited the National Art Gallery, we can have a chat about our next holiday during the free time in the afternoon.",{'visited'},"{'visited', 'Gallery,', 'afternoon.'}"
Nowadays the main attroction in the newspapers and on television is the private lives of famous people .,Nowadays the main attraction in the newspapers and on television is the private lives of famous people .,Nowadays the main attraction in the newspapers and on television is the private lives of famous people.,{'attraction'},"{'people.', 'attraction'}"
"On the whole , being rich and famous does n't always bring happeness , whereas the majority of the population wish they were rich and famous .","On the whole , being rich and famous does n't always bring happiness , whereas the majority of the population wish they were rich and famous .","On the whole, being rich and famous doesn't always bring happiness, whereas the majority of the population wish they were rich and famous.",{'happiness'},"{""doesn't"", 'famous.', 'whole,', 'happiness,'}"
Last week we had another demostration of this .,Last week we had another demonstration of this .,Last week we had another demonstration of this.,{'demonstration'},"{'this.', 'demonstration'}"
So I think we would not be live if our ancestors did not develop siences and tecnologies .,So I think we would not be alive if our ancestors did not develop sciences and technologies .,So I think we would not be live if our ancestors did not develop sciences and technologies.,"{'technologies', 'sciences', 'alive'}","{'technologies.', 'sciences'}"
"Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , becouse you do n't know more than to put air a in car .","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , because you do n't know more than to put air a in car .","Imagine yourself you are working in factories just to do one thing like put air a on car if they fire you you will be destroyed, because you don't know more than to put air a in car.",{'because'},"{'destroyed,', 'factories', 'car.', ""don't"", 'because'}"
"For example , they can play football whenever they want , but the olders can not .","For example , they can play football whenever they want , but the elders can not .","For example, they can play football whenever they want, but the others can not.",{'elders'},"{'example,', 'others', 'want,', 'not.'}"
"While It is true that consumers preffer to buy products with lower prices , when international companies that are already certified begin to send their products to market , people will preffer to consume those goods because the difference in price will probbably not affect them too much .","While It is true that consumers prefer to buy products with lower prices , when international companies that are already certified begin to send their products to market , people will prefer to consume those goods because the difference in price will probably not affect them too much .","While It is true that consumers prefer to buy products with lower prices, when international companies that are already certified begin to send their products to market, people will prefer to consume those goods because the difference in price will probably not affect them too much.","{'prefer', 'probably'}","{'probably', 'prices,', 'prefer', 'market,', 'much.'}"
And young people spend more time on ther lifestyles .,And young people spend more time on their lifestyles .,And young people spend more time on their lifestyles.,{'their'},"{'lifestyles.', 'their'}"
