error,real_correct,predicted_correct,diff_r,diff_p
"And recently , I have been practicing tennis as a school activity .","And recently , I have been practising tennis as a school activity .","And recently, I have been practicing tennis as a school activity.",{'practising'},"{'activity.', 'recently,'}"
The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practicing .,The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practising .,The reason I enjoyed it very much is that I could meet the vocalist during setting chairs just before they started practicing.,{'practising'},{'practicing.'}
Can you send me a letter back writing what happend to you recently ?,Can you send me a letter back writing what happened to you recently ?,Can you send me a letter back writing what happened to you recently?,{'happened'},"{'recently?', 'happened'}"
"Finally , what kind of wheather is waiting for us ?","Finally , what kind of weather is waiting for us ?","Finally, what kind of weather is waiting for us?",{'weather'},"{'Finally,', 'weather', 'us?'}"
"Surprisily , there were no discounds .","Surprisingly , there were no discounts .","Surprisingly, there were no discounts.","{'discounts', 'Surprisingly'}","{'Surprisingly,', 'discounts.'}"
"She just remembered it ought to be a secret , and she became really embarassed .","She just remembered it ought to be a secret , and she became really embarrassed .","She just remembered it ought to be a secret, and she became really impressed.",{'embarrassed'},"{'secret,', 'impressed.'}"
I swim really well and I am a proffesional basketball player .,I swim really well and I am a professional basketball player .,I swim really well and I am a professional basketball player.,{'professional'},"{'professional', 'player.'}"
It all started when one of the organizers asked me to help him at a concert of my favorite band .,It all started when one of the organizers asked me to help him at a concert of my favourite band .,It all started when one of the organizers asked me to help him at a concert of my favorite band.,{'favourite'},{'band.'}
I am writting to you about the show .,I am writing to you about the show .,I am writing to you about the show.,{'writing'},"{'show.', 'writing'}"
"The woman who sold me a ticket was very roud to me , actually she started swearing at me .","The woman who sold me a ticket was very rude to me , actually she started swearing at me .","The woman who sold me a ticket was very rude to me, actually she started swearing at me.",{'rude'},"{'rude', 'me.', 'me,'}"
"They were just playing and , by acsident , Peter shot him .","They were just playing and , by accident , Peter shot him .","They were just playing and, by accident, Peter shot him.",{'accident'},"{'and,', 'accident,', 'him.'}"
"He promised to keep it secret . The next morning we had an arguiment with Pat . The 3 of us were shouting at each other . In short , Pat left us .","He promised to keep it secret . The next morning we had an argument with Pat . The 3 of us were shouting at each other . In short , Pat left us .","He promised to keep it secret. The next morning we had an argument with Pat. The 3 of us were shouting at each other. In short, Pat left us.",{'argument'},"{'secret.', 'short,', 'other.', 'Pat.', 'us.', 'argument'}"
"Secondely , I am interested in trying something that I have never done , so I would like to do sailing .","Secondly , I am interested in trying something that I have never done , so I would like to do sailing .","Secondly, I am interested in trying something that I have never done, so I would like to do the sailing.",{'Secondly'},"{'Secondly,', 'sailing.', 'done,', 'the'}"
First of all I have to say that the whole festival was a greatful success and I also think you chose an appropriate title for the leaflet .,First of all I have to say that the whole festival was a great success and I also think you chose an appropriate title for the leaflet .,"First of all, I have to say that the whole festival was a grateful success and I also think you chose an appropriate title for the leaflet.",{'great'},"{'leaflet.', 'all,', 'grateful'}"
Nearly at the end of this letter I have to say that the idea of the weekend ticket was really good because it gave the people the opportunity to attemp for a whole weekend for a cheap price .,Nearly at the end of this letter I have to say that the idea of the weekend ticket was really good because it gave the people the opportunity to attend for a whole weekend for a cheap price .,"Nearly at the end of this letter, I have to say that the idea of the weekend ticket was really good because it gave people the opportunity to attempt for a whole weekend for a cheap price.",{'attend'},"{'letter,', 'attempt', 'price.'}"
I am writing with regard to your advertisment .,I am writing with regard to your advertisement .,I am writing with regard to your advertisement.,{'advertisement'},{'advertisement.'}
It was my favorite musical .,It was my favourite musical .,It was my favorite musical.,{'favourite'},{'musical.'}
I was very hopefull that I was going to have a good time .,I was very hopeful that I was going to have a good time .,I was very hopeful that I was going to have a good time.,{'hopeful'},"{'time.', 'hopeful'}"
I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US ON THE RIVER TRIP TO GREENWICH .,"I WANT TO THANK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND, ESPECIALLY, FOR TAKING US ON THE RIVER TRIP TO Greenwich.",{'THANK'},"{'THANK', 'Greenwich.', 'ESPECIALLY,', 'AND,'}"
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASES , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION, FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT, in some cases, costs more than they deserve to pay.",{'CASES'},"{'to', 'in', 'cases,', 'costs', 'than', 'OPINION,', 'THAT,', 'pay.', 'more', 'deserve', 'some', 'they'}"
"Also , I want to say that the plays and films were exellent , but there were n't enough of them for me .","Also , I want to say that the plays and films were excellent , but there were n't enough of them for me .","Also, I want to say that the plays and films were excellent, but there weren't enough of them for me.",{'excellent'},"{""weren't"", 'me.', 'Also,', 'excellent,'}"
In our Acadamy we are not allowed to smoke .,In our Academy we are not allowed to smoke .,"In our academy, we are not allowed to smoke.",{'Academy'},"{'smoke.', 'academy,'}"
I was trully dissapointed by it .,I was truly disappointed by it .,I was truly disappointed by it.,"{'disappointed', 'truly'}","{'it.', 'truly', 'disappointed'}"
"Secondly , I had to wait fourty - five minutes before the show finally began .","Secondly , I had to wait forty - five minutes before the show finally began .","Secondly, I had to wait forty - five minutes before the show finally began.",{'forty'},"{'began.', 'Secondly,', 'forty'}"
I 'd like you to send the money to this adress : ul Taklowa 10,I 'd like you to send the money to this address : ul Taklowa 10,I'd like you to send the money to this address: UL Taklowa 10 .,{'address'},"{""I'd"", 'UL', '.', 'address:'}"
It is a dream becames true and was really unexpected for me !,It is a dream come true and was really unexpected for me !,It is a dream becomes true and was really unexpected for me!,{'come'},"{'becomes', 'me!'}"
"If not , what do you sugest ?","If not , what do you suggest ?","If not, what do you suggest?",{'suggest'},"{'suggest?', 'not,'}"
"The festival was excenent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways , and in particular it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways, and in particular it being an international festival was a challenging, but brilliant idea.",{'excellent'},"{'ways,', 'challenging,', 'excellent', 'idea.'}"
MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLAINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .,My name is James Cameron and I am writing this letter to you because I have some problems regarding the DISAPPOINTING EVENING I had last night.,{'COMPLAINTS'},"{'you', 'letter', 'to', 'and', 'last', 'regarding', 'problems', 'James', 'am', 'writing', 'My', 'had', 'night.', 'this', 'Cameron', 'name', 'have', 'because', 'some', 'the'}"
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAIZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE advertisement it clearly states that the show starts at 19.30, and I got really mad when I LOOKED at my watch and noticed that I had been waiting for 40 (FORTY) minutes and the show hadn't started yet... I mean it was AMAIZING!",{'AMAZING'},"{'and', 'waiting', 'yet...', 'advertisement', 'that', 'AMAIZING!', 'got', 'was', 'mad', 'clearly', 'really', 'starts', 'mean', 'minutes', 'been', 'it', 'for', 'had', '19.30,', 'watch', 'states', 'show', 'at', 'noticed', 'started', ""hadn't"", 'my', 'when', '(FORTY)', 'the'}"
I COULDN'T BELIVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I COULDN'T BELIEVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..,I couldn't understand it. HOW CAN THIS CLASS OF THEATRE BE SO..,{'BELIEVE'},"{'understand', ""couldn't"", 'it.', 'SO..'}"
"OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMEND MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMAND MY MONEY BACK !","OH I'M GETTING MAD AGAIN, so I am going to tell you one last thing, it was the most horrible night I have ever had so I will definitely give my money back!",{'DEMAND'},"{'you', 'night', 'to', 'last', 'ever', 'GETTING', 'will', 'was', 'definitely', 'AGAIN,', 'am', 'it', 'one', 'so', 'had', 'most', 'give', 'back!', 'horrible', 'money', 'tell', 'have', 'my', 'thing,', 'going', 'the'}"
MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE CONFORTNESSCOMFORTABLE WE GET .,MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE COMFORTCOMFORTABLE WE GET .,"Modern technology has affected me in several ways. I mean the more technology advances, the more comfortably we get.",{'COMFORTCOMFORTABLE'},"{'technology', 'several', 'in', 'me', 'mean', 'Modern', 'affected', 'has', 'ways.', 'advances,', 'more', 'comfortably', 'get.', 'the', 'we'}"
BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE .,BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PASSIVE PERSON AND NOT SO ACTIVE .,BUT I think that with modern technology we GET more comfortable so that makes me a pacifist person and not so active.,{'PASSIVE'},"{'technology', 'modern', 'a', 'person', 'and', 'me', 'that', 'comfortable', 'makes', 'we', 'with', 'active.', 'not', 'pacifist', 'more', 'so', 'think'}"
"THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING CONFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING COMFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO .","This can be bad too because if I get used to being comfortable, when I need to do hard work, I won't be able to.",{'COMFORTABLE'},"{'if', 'to', 'able', 'need', 'be', 'being', 'too', 'get', 'do', ""won't"", 'can', 'comfortable,', 'work,', 'to.', 'used', 'bad', 'This', 'because', 'hard', 'when'}"
"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?","Everybody attented go to the show , funny , and happy in the end , and what have we go then ?","Everybody hoped to go to the show, funny, and happy in the end, and what have we gone then?",{'happy'},"{'happy', 'hoped', 'funny,', 'end,', 'gone', 'show,', 'then?'}"
Disapponted !,Disappointed !,Disappointed!,{'Disappointed'},{'Disappointed!'}
"If you could not manage the programe , why did n't you informe people before the programe started ?","If you could not manage the programme , why did n't you inform people before the programme started ?","If you could not manage the program, why didn't you inform people before the program started?","{'programme', 'inform'}","{'program,', ""didn't"", 'program', 'started?', 'inform'}"
So I think we would not be live if our ancestors did not develop siences and tecnologies .,So I think we would not be alive if our ancestors did not develop sciences and technologies .,So I think we would not be alive if our ancestors did not develop sciences and technologies.,"{'sciences', 'alive', 'technologies'}","{'sciences', 'alive', 'technologies.'}"
"Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , becouse you do n't know more than to put air a in car .","Imagine yourself you are working in factory just to do one thing like put air a on car if they fire you you will be destroyed , because you do n't know more than to put air a in car .","Imagine yourself you are working in factories just to do one thing like put air on cars if they fire you, because you don't know more than to put air on cars.",{'because'},"{'cars.', 'factories', 'cars', 'because', ""don't"", 'you,'}"
"For example , they can play football whenever they want , but the olders can not .","For example , they can play football whenever they want , but the elders can not .","For example, they can play football whenever they want, but the others can not.",{'elders'},"{'want,', 'example,', 'not.', 'others'}"
"While It is true that consumers preffer to buy products with lower prices , when international companies that are already certified begin to send their products to market , people will preffer to consume those goods because the difference in price will probbably not affect them too much .","While It is true that consumers prefer to buy products with lower prices , when international companies that are already certified begin to send their products to market , people will prefer to consume those goods because the difference in price will probably not affect them too much .","While it is true that consumers prefer to buy products with lower prices, when international companies that are already certified begin to send their products to market, people will prefer to consume those goods because the difference in price will probably not affect them too much.","{'probably', 'prefer'}","{'much.', 'market,', 'it', 'probably', 'prices,', 'prefer'}"
And young people spend more time on ther lifestyles .,And young people spend more time on their lifestyles .,And young people spend more time on their lifestyles.,{'their'},"{'their', 'lifestyles.'}"
Students can focus on only a few subjects they are intwerested in and they will become experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,{'interested'},"{'interested', 'areas.'}"
He thinks differently than others and he has succeded .,He thinks differently than others and he has succeeded .,He thinks differently than others and he has succeeded.,{'succeeded'},{'succeeded.'}
These activities make the community a better place to live and include these values in all the members .,These activities make the community a better place to live and include those values in all the members .,These activities make the community a better place to live and include these values in all the members.,{'those'},{'members.'}
"all the broad knowledge helps they to understand their major in university classes , as well as help they to make a correct choice in a specialized area .","all the broad knowledge helps them to understand their major in university classes , as well as help them to make a correct choice in a specialized area .","All the broad knowledge helps them understand their major in university classes, as well as help them make a correct choice in a specialized area.",{'them'},"{'them', 'area.', 'All', 'classes,'}"
I could very easily understand why he would always brang bad marks home .,I could very easily understand why he would always bring bad marks home .,I could very easily understand why he would always bring bad marks home.,{'bring'},"{'bring', 'home.'}"
"Then , when we went to the Science Olympiad , she had diverse knowledge about the subects , and it was not new for her to think about new things .","Then , when we went to the Science Olympiad , she had diverse knowledge about the subjects , and it was not new for her to think about new things .","Then, when we went to the Science Olympiad, she had diverse knowledge about the subjects, and it was not new for her to think about new things.",{'subjects'},"{'Olympiad,', 'subjects,', 'things.', 'Then,'}"
"If every person tries to learn and understand lots of scientifc subjects , no person will do it and , as a result of this , no science will be improved .","If every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved .","If every person tries to learn and understand lots of scientific subjects, no person will do it and, as a result of this, no science will be improved.",{'scientific'},"{'subjects,', 'and,', 'scientific', 'this,', 'improved.'}"
they will run out very soon at the current rate of utilisation .,they will run out very soon at the current rate of utilization .,They will run out very soon as the current rate of utilization is low.,{'utilization'},"{'low.', 'utilization', 'as', 'is', 'They'}"
and it will put your maind into non-stop learning .,and it will put your mind into non-stop learning .,And it will put your mind into non-stop learning.,{'mind'},"{'learning.', 'mind', 'And'}"
In today 's world Compuer skills are the first important life skill .,In today 's world Computer skills are the first important life skill .,"In today's world, computer skills are the first important life skill.",{'Computer'},"{'world,', ""today's"", 'skill.', 'computer'}"
"I have never stopped myself to think this , but this is a real possibility for the fucture .","I have never stopped myself to think this , but this is a real possibility for the future .","I have never stopped myself to think about this, but this is a real possibility for the future.",{'future'},"{'future.', 'about', 'this,'}"
"If we conseder an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .","If we consider an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .","If we consider an idea as a totally autonomous concept within the individual process of defining reality, I think the ideas are useless, and not based on experience.",{'consider'},"{'useless,', 'consider', 'reality,', 'experience.'}"
"If there are specialized docters that have done the operation often , he becomes talented in his job .","If there are specialized doctors that have done the operation often , he becomes talented in his job .","If there are specialized doctors that have done the operation often, he becomes talented in his job.",{'doctors'},"{'often,', 'job.', 'doctors'}"
It will be good situstion .,It will be good situation .,It will be a good situation.,{'situation'},"{'situation.', 'a'}"
the school teachers there are the ones who create the future of the younger genaration so we have to teach them better .,the school teachers there are the ones who create the future of the younger generation so we have to teach them better .,"The school teachers there are the ones who create the future of the younger generation, so we have to teach them better.",{'generation'},"{'generation,', 'The', 'better.'}"
"When you go uphill , you hvae to bend your back .","When you go uphill , you have to bend your back .","When you go uphill, you have to bend your back.",{'have'},"{'have', 'back.', 'uphill,'}"
They paid much attemtion to their faces and spent lots of money to shop .,They paid much attention to their faces and spent lots of money to shop .,They paid attention to their faces and spent lots of money shopping.,{'attention'},"{'shopping.', 'attention'}"
"I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs , etc .","I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .","I started to notice the ways of foreign clothing and hair styles, these past days by watching TV programs, such as Friends, Srcubs, etc.",{'Scrubs'},"{'Srcubs,', 'programs,', 'Friends,', 'etc.', 'styles,'}"
I like you give me any commets and opinoins too .,I like you give me any comments and opinions too .,I like you give me any comments and opinions too.,"{'opinions', 'comments'}","{'opinions', 'comments', 'too.'}"
It was like warter and his bottom was red .,It was like water and his bottom was red .,It was like water and his bottom was red.,{'water'},"{'red.', 'water'}"
"Everyday , there are new thinngs to try .","Everyday , there are new things to try .","Every day, there are new things to try.",{'things'},"{'day,', 'things', 'Every', 'try.'}"
It 's a kind of Tai - wan stayle massage .,It 's a kind of Tai - wan style massage .,It's a kind of Tai - wan style massage.,{'style'},"{'massage.', ""It's"", 'style'}"
"After that , I went to a fittness club which has bedrock bathing .","After that , I went to a fitness club which has bedrock bathing .","After that, I went to a fitness club which has bedrock bathing.",{'fitness'},"{'bathing.', 'fitness', 'that,'}"
It 's nearlly 12 pm .,It 's nearly 12 pm .,It's nearly 12 pm.,{'nearly'},"{""It's"", 'pm.', 'nearly'}"
Elections will be held on Augst 30th .,Elections will be held on August 30th .,Elections will be held on Augst 30th.,{'August'},{'30th.'}
This time they may lose adoministration .,This time they may lose administration .,This time they may lose administration.,{'administration'},{'administration.'}
It is made of spnge : ) It is cute .,It is made of sponge : ) It is cute .,It is made of sponge.) It is cute.,{'sponge'},"{'cute.', 'sponge.)'}"
"I 'm laerning English , but it 's really difficult for me !","I 'm learning English , but it 's really difficult for me !","I'm learning English, but it's really difficult for me!",{'learning'},"{""it's"", 'me!', 'learning', 'English,', ""I'm""}"
"I was releaved to hear the doctor 's diagnosis , but I 'm still worried .","I was relieved to hear the doctor 's diagnosis , but I 'm still worried .","I was relieved to hear the doctor's diagnosis, but I'm still worried.",{'relieved'},"{'worried.', 'diagnosis,', ""doctor's"", ""I'm"", 'relieved'}"
"Inovative and original ideas are good , but if you can not find them , you should know that most of research work is just refinement of other 's work .","Innovative and original ideas are good , but if you can not find them , you should know that most of research work is just refinement of other 's work .","Innovative and original ideas are good, but if you can not find them, you should know that most of the research work is just a refinement of other's work.",{'Innovative'},"{'a', 'work.', ""other's"", 'Innovative', 'good,', 'them,', 'the'}"
I was somewhat puzzied what to say .,I was somewhat puzzled what to say .,I was somewhat puzzled what to say.,{'puzzled'},"{'puzzled', 'say.'}"
"So , after he was made consul by the Romans , he went to Afrika , where he fought againt Yugurta , who was king of Numidia .","So , after he was made consul by the Romans , he went to Africa , where he fought against Yugurta , who was king of Numidia .","So, after he was made consul of the Romans, he went to Afrika, where he fought against Yugurta, who was king of Numidia.","{'against', 'Africa'}","{'against', 'Romans,', 'Yugurta,', 'Numidia.', 'Afrika,', 'So,'}"
caz I don have a school until then ! !,cuz I don have a school until then ! !,Because I don't have a school until then!,{'cuz'},"{'Because', 'then!', ""don't""}"
That 's why I 'm very excited to teach studens English ! !,That 's why I 'm very excited to teach students English ! !,That's why I'm very excited to teach students English!,{'students'},"{'students', ""I'm"", ""That's"", 'English!'}"
"Those are such things as playing sports , reading books , lithening to music , taking walks .","Those are such things as playing sports , reading books , listening to music , taking walks .","Those are such things as playing sports, reading books, listening to music, taking walks.",{'listening'},"{'listening', 'sports,', 'books,', 'music,', 'walks.'}"
