input,labels
"In Kant is moral theory , one should not use people or treat people with aims .",1
hospital and I have an interval until I go to the skin care clinic .,1
Where could it take us ? !,1
The reason that she lives in New Zealand is that she discovered her dream .,1
I used to stare out of that window for hours .,1
British Prince William to Marry,0
Becaus I love playing soccer .,1
Good news,0
Or which one is the best method you ever used before .,1
"Oct , ",0
"During the painting time , it should have been rotten and changed with new ones many times .",1
He always teached same way .,0
I want to become a grown - up early .,1
I will eat many stuff during my trip !,0
As his birthday he treated us at campus canteen .,0
Why do not you come with me ? ,0
 ' What a small world ' .,1
"I am studying english with old but famous sitcom , Friends .",0
"Actually , all these ideas except first one are NOT my ideas .",0
"Especially fat people , are really dangerous .",1
"Someday of last nonth , ",0
It was created in England .,1
I was paralyzed in fear .,0
I thought at first it is very difficult because I was used to make a web site for smart phones but I found that it is easy .,0
"A book on articles gives an example , ",1
You always have a warm heart .,1
Where is the job ?,0
"I am not good at using have , would and could . ",0
You got the meaning what I want ?,0
I went to Ladner to see car show with my host father .,0
"I like running , swimming , listening to music , history , and reading .",1
I am korean .,0
Good night .,1
My friend invited her festival opening after days .,0
Love Yoga,0
It is a round paper fan .,0
"Second , smoking help free the body of tension .",0
Hey there .,0
"We need a constructive communication , and we should discuss what to do regardless of profession .",0
I was back home this morning .,1
"Hello , everyone !",1
What I am trying to say is that the conclusion is not the one I was hoping for as it revolts my entire terrain model .,1
I feel very sorry for the people .,1
"Despite it , I ate up fruit bread I bought at Marketplace today ! !",0
 ,1
"But , I recently go to bed at and I feel well .",0
"The important thing here is that you feel that you know this person likes strawberries , but are not sure .",1
My book is acknowledgement was written .,1
I live in Russia and working in plant .,0
I found him when I reached there .,0
"One team would be elected from each group , which will compete in the elimination games .",0
"Also in family life , they live more closely than western people .",1
We ordered a lot of food .,0
"Even so , cooking is good for a change .",0
"So , I have been practicing to make easy English sentences which are in level of junior high school students since January of this year .",0
I write a diary for a long time .,0
I study English in my school .,0
It has different antique buildings and also modern ones .,0
So annoying .,1
He kept watching people is reactions to the rock which was placed in a very awkward spot .,0
Foreign language,0
"I sunk into a hot spring there . After that , we ate ice cream which we could not eat because it was too expensive for us .",1
And I ate fish and chips for breakfast and brought it in a doggy bag .,1
I am in a quite difficult mental state and often depressed .,1
" , Do not smile when you pass unknown people . ",1
"Then , hi asked a lot of things .",0
"For example , this game .",0
"When I arrived there and called her , something was strange .",0
"Third , I strongly recomend you to learn some usuful expressions in korean in advance , or bring the korean useful expressions hand book .",0
My girlfriend also studies English .,1
"Yesterday and today , big earthquakes happened .",1
She always smiles even after she is scolded .,1
I saw a doctor for an allergic test today .,1
"That is to say , self - respect is very important for every individual , everyone is eager to get it , and at the same time , afraid of missing it .",1
And I bet she will be a key person in Terminator .,1
"More than half a year late , I know we were not enough mature at that time .",0
"I am currently studying in Paris , France .",0
"This main character is year - old girl , and she does not know things well because of young .",0
Does this make sense ?,1
 What happens to the hole when the cheese is gone ?,1
I have been writing a diary for a long time .,1
We had delicious Udon .,1
The bomb who chattered part ,0
it is very lovely place .,0
"I like to travel to Japan , ",0
They do not insist their opinions actively because they think nothing is better than making a fuss .,0
Hard worker is life ,1
I am poor in English . ,0
It is sad not to be able to speak English and Korean though a lot of foreign dramas are seen .,1
Next chance of taking the test is June .,0
"I went to an international party last night , for the first time .",1
Daughter Hmm .,1
Oh well,0
"You lie so much , I do not believe your story .",1
Time always flies while enjoying good time .,0
I am afraid of being laughed at !,1
But I found this web comic .,0
This is my favorite video of them .,0
Everyday I watch MJ is video .,0
So I woke up early in the morning .,0
I have woken up just now .,1
He felt that sometimes .,1
Which do you like better ?,1
"If you help me , I would be appreciated .",0
This is my first diary but I do not know what else I should do .,1
Therefore I apply for only such companies now .,0
It is been fine and very hot for a few weeks here .,0
The people who doubt nuclear power are called Impractical dreamers .,1
But on Valentine is Day I heard a very nice song on the recording . I really love its style .,1
"For example , I am years old .",1
I was moved to find my diary was corrected .,1
"But they are robbed of Victor is fancy perfume , which costs dollars , and run away with it .",1
He reasons Why invole some else when I can do it myself ? He keeps his problems to himself unless he requires help from another to find a solution .,0
I lacked drive at all .,0
I was impressed with his thought of family .,1
"For example , J .",1
Notification of Uploading of Opensource Software,0
I went to neighboring town to have fresh tuna for my lunch .,0
The most ordinary gift is a box of chocolates .,1
I ca not understand foreign people is humor .,0
That is very helpful to refresh .,1
I do nt need to wonder about building names .,1
"As I found a new word , I am using it .",1
"I am surprised of this word at the first time , because I think this kind of status is important only in Asian culture . ",0
but i am afraid it is a disrespect .,0
 space This is a pen .,1
I pushed people out of the way and looked for the food stall I had already checked on the guidebook .,1
Difficulty of Drug is Name resembling Abracadabra,0
We started our chat with some words like that .,1
"Our Chinese national character make our Chinese characters features , our words also reflects our national character , our Chinese characters is unusual because we are resplendent from others .",0
"For now , I think it is better for me to have some formal work experience , to years .",1
"I am studying English , because I want to work abroad in the future .",0
I prefer the summer of Beijing to that of the southern China .,0
I have a question .,1
"The next moment , I found the clock indicated at noon .",0
"My sister - in - law said , Never count the number of stones of Stonehenge .",0
Cartainly I like pop - music .,0
"Sometimes , some people says , You looks unfriendly . ",0
But my teardrops are at that time,1
"I download how to make doughnut pillow , face mask , hair mask , and a lot of handycratings .",1
"According to my friend , it was a story about a polite bear .",1
"Although I am a human medical student , I managed to do a dog is birth .",1
"it is the st century , right ?",1
"It happens for a content of a big amount of injurious elements in food , that people consume .",0
a galley worm !,1
The presents of fate has it is price .,0
But I could not make it in time because I had overslept .,0
"lacking taste or savor TASTELESS lacking in qualities that interest , stimulate , or challenge ULL , FLAT",1
The work I am having now is not what I want .,0
Sleeping is very important for our health and productivity .,1
"By the way , I have a Japanese class tomorrow morning .",0
"I hope so tommorrow is rainy day , ",0
"But , if I really want to go , I must really work hard ",0
Quit smoking Day Additional charges and cost for quit smoking,0
I rented a CD yesterday from Geo .,1
I made a Yosakoi team with my best friend and we danced at the festival .,1
"For example , it is to be an honorable doctor , to help more and more people with medicine , and to succeed in my life and get a position , distinction , or rewards .",1
 answered I having turned over on one side .,0
"Sorry , my husband . ",1
Also The information become old information .,0
"Soccer is a very exciting sport , I think .",1
I went to the Sony store yesterday .,1
"If do not mind , explain to me ",0
I will introduce you a favorite song from among these ones .,0
"But he seems very cool , lol .",0
I have an interview for a scholarship to study abroad tomorrow afternoon .,1
"At school , in a science class , the teacher asks Giovanni what the Milky Way really is .",0
Today I went to church .,1
They always say I got points to tell but there are some grammatical problems in my email .,0
"Recently , I wanted to live more actively .",1
So I want to be relaxed .,0
Those people looked happier .,1
"Lastly , the Korean society itself has to change to be more flexible .",0
Some people believe that it is unfair for the stars to get too much money without representing more to society .,1
One is that the position of planets causes the phenomenon .,0
He and I and another guy .,1
She had to apologize courteously to all participants for being unable to offer them return gifts in her letter .,0
Dumb boss smart employee promotion,1
This is the very vibrant festival .,0
Their looks are a little gross !,1
What is up ?,0
Summer break here begins from the end of June to the beginning of September .,1
"Even though the weather was very bad , I was glad to be in the countryside .",1
It is still summer here in Japan !,0
I should keep doing .,0
A Crown Of Salt,0
The world let Israel occupy and kill the people in Palestine and if we try to defend them they call us terrorists . Is that fair ?,1
The invoice that you added also was written on it .,1
Thank you thank you for everything .,1
"Sadly , we decrease our metabolism with age .",1
I was surprised because of the spectators ' cheering ! ! It was interesting for me !,1
And it is easy to solute the problem .,0
Is not that a new testing method ?,0
a nice long week,1
The Internet has become indispensable for our daily lives and plays a vital role in the development of our society .,0
Thank you everyone !,0
"i sow some fishes , moray eel , sea urchin .",0
"Yesterday , I went to SAKANACTION is concert .",1
some of us are fed up this term .,0
I think it is so absurd that ?,1
To consume food and sake from Tohoku area .,0
"It looks like a boundless way , but this both hands will be able to embrace a light .",0
That I could not avoid .,0
I rode a motorcycle from Barstow .,0
"Often , a person who is late for minutes may skip pardoning at all .",0
It is like it is been a donkey is ears .,1
Upgrade Qualification,1
"I bought goods for hiking , and I am dreaming about the blue sky and beautiful mountains .",1
And I bought a scarf of coach for my mother .,0
I found that we must learn something useful in normal time .,1
"the runner is not on the playground when he starts running . When he arrives at the playground , he will stop running ",1
Now I hope it is in my car .,1
Easy mode is for primary school boys only .,0
Thank you .,1
I am happy !,1
"Though i see the Lost or The prison break every day , and mimicry their talks , i seems helpless .",0
"Today , my wife and I are watching the TV programme SMAP - SMAP that was recorded by my wife yesterday night .",1
All I can do is to live my life .,1
The police had been doubting me that I had a relationship with him .,1
I really hope we do not hear too much about those disasters .,1
I still like her !,1
It is not easy to recognize about the condition of people in foreign countries .,0
"I went to the library of KEIO University , but I read no books .",1
"Probably I will made a lot of mistakes , because my English is not very good .",0
I will sweat because there is no air conditioner in my room .,1
It is suggest that now is spring already .,1
He enphasized international cooperations on his speech .,0
I have to search for their information in this vacation .,0
I got a lot of things that I will be able to exploit in the future .,1
I was so sorry for the girl and I thought about how to help them .,1
They would like to use a credit card and repay by installment reimbursement .,1
My younger daughter went to Hong Kong for a holiday with her friend yesterday .,1
I want to play with my friends ! !,0
"Oh , It is so clod .",0
I think .,0
There are some rooms and a small cafe in the darkness .,0
His voice was amazing !,1
Suggestion can be first step to solve problems because the bad situation will be discussed as a problem .,0
But I advised her a little firmly .,1
Hideo is very skillful person .,0
omg I really think that I should do my homework .,1
It was relieved me because generally menber of such inconspicuous club are not cheerful .,0
"Tonight , I played six games in total .",1
both ' seen ' and ' who ' are indicate patient .,0
So I try to read The Brothers Karamazov .,0
The mind of one is own was not bent .,0
"ah , , , maybe that is why I have a short temper .",0
"When my husband went to cheer the Mariners with his friend , the team won , so my husband believes that I m the reason that the team is always defeated .",0
The iPad does not sell well because it is a little hard to carry out .,1
I am happy .,1
"I like Linkin Park , U , Oasis , Nirvana , Foo Fighters .",1
what is rare and interest for American ?,0
Until now I am not able to eat it .,1
 articulate,0
"In Tokyo university , a new measure is trying to be .",1
I told my roommate about it .,1
"But as I know , a normal marriage is hard enough to handle these days , so what about a trans - national marriage ?",1
"I hate and can , t allow BBC ! !",0
Your boss might get to like you .,0
The egg was really unique .,1
I counted from to to achieve my m .,1
I warned him I was not going to eat those small animals .,1
" Yeah , maybe dead ones , though . I replied in the wind .",1
I am looking forward to it .,1
This is a fundamental right for them .,1
"Fortunately , My father woke up that time .",0
See you next time ,0
it may help you to understand how Korean words are maden .,0
" Do not worry pal , I will teach you enthusiastically . ",1
"Therefore , I want to study in England .",1
I am always relaxed and happy to take my foreign friends around Asakusa because it is a very good way to show the traditional goodness of Japanese culture to my friends and they are sure to get excited during the visit .,0
Today watched ' Lady Snowblood ' .,0
Go Japan ! ! !,0
People hurt each other .,1
This is why I did not .,1
I like English .,0
so now I send mails to everybody,0
FIT ,1
but our families ca not gather together .,0
I ran away from the old man and the old woman .,0
I believe there are many people in the US who do not know the small city of Davis .,1
It was about six p .m . when I finally arrived at downtown .,0
I saw a classical music concert performed by the Prague Radio Symphony Orchestra from the Czech Republic .,1
Love is the imperative form of the verb love . ,1
"If you care for us , please , please pray with us and let your friends know what is happening .",0
I think that I want to raise my ability in English .,1
"In our daily life , it is not easy to see the different animals getting together , because they would always stay with whom is similar to themselves .",0
We arrived there afternoon .,0
I went to the wake of my kendo teacher .,1
Spring is coming around the corner .,1
"Last weekend , I met pretty good movie , Coach Karter , who was the coach of Richmond high school basket tearm archived successful story at that time .",0
"September has started , then what are you thinking about it ?",0
But I am happy because I have gathered all of my family .,1
"But , in this team , the person who works in the full - time job is just me .",1
"There are three types of color , red and black and green .",1
Do not take it seriously .,1
We found that our seats were placed in the front of fireworks .,0
I dream of joining the Volunteer to save the Tasmanian Devil one day .,1
" , direct designers and programmers to create a customer is website .",1
To be continued .,0
I got my bonus today !,0
Sometimes we sweared at our manager together .,1
Very sinple but very excting game !,0
Do not you want to know why I feel like that ?,0
Vocabulary practice,0
"Besides , the university student must study !",1
He let me ride on the back seat of his motorbike and it took about hours on the journey .,1
According to the tradition people go to relatives house guest .,0
"However , we feel cooler and comfortable breeze blowing these days in the morning and the evening these days .",0
I went to a wedding party of my friends .,1
"But actually , there are too many to choose from .",1
This project started last July .,1
What am I going to do from now on ?,0
And my English grade falls .,1
I rode a bicycle to work this morning .,1
"I have taught him since May , from the beginning .",1
 What is your hobby ?,1
I had it a long time ago .,1
The betas have the habit of bringing up their children by only a male beta .,1
I have met quite a few friends who can speak two or over two foreign languages very well in NYC .,1
I think it is the mission of ours who survived this disaster .,0
I am happy to talk with them .,1
A normal day,1
We are going to go the Hong - Kong in next June .,0
"a calendar , chirasis and postcards , well there are wonderful for me .",0
It was a beautiful day today so I went to cycling .,0
There are tracks in this album .,1
"I said to my friend , How frustrating ! ",1
"Secondly , we can spend more time with our amily .",0
I hardly spoke and understood English then .,0
She is very brave and had nt compained anything .,0
I have been abroad once .,1
And there is one more unique thing .,1
I attended the commemoration exercises of memorial day as one of the student representatives .,1
I think it showed his folk character .,1
I want to sleep and relax ! ! !,0
It is test necessary to take the university of the national and public .,0
Their looks are little gross !,0
And it s difficult to find good clothes for that . ,0
Today I played rugby after a long absence in an old school .,0
Advertisers claim that the advertisements provide useful information .,1
It is serious .,1
It is an honor that I have such a distinctive friend .,1
"I think I am not bad at listennig , but in speaking and writing , ",0
Lucky to have stayed where we have stayed,0
I was very,0
This is what I was looking for .,1
"I did not know what should I write about , but I coud not wait !",0
"If there is no subsidary , japanese company fire many employee , which estimate million people .",0
It is PM midnight in Japan now .,0
But I was not there .,1
Can anyone do it for me ? ? ?,0
"I will look smart , elegant , and perfect , but only today !",1
"We can choose a friend , so why not choose a good one ?",1
"I sit beside his grave and I tell him about my last crush , all the gossip at home . I laugh and feel like he is with me .",1
She painted my nails like a water balloon we always see at summer festivals .,1
but I am using a PC in Mac .,0
It is very important to every Chinese .,0
So I wrote this contents excitedly .,0
That is why I learn English !,0
Today is too hot .,1
I want to practice english for business .,0
"Yesterday I enjoyed a group conversation with my German , Filipino and American friends over Skype .",0
Perhaps retribution will happen one day ?,0
Could you answer me ?,1
My old boss is e - mail,1
"I hope that all of them will enter high schools and colleges , which they want to enter .",0
I ca not wait to go there again !,1
I went to the barber after an interval of four months today .,1
That is why I can be working as a CAD operator now by merely mastering how to use it .,1
"According to my friend , it was a story with a polite bear .",0
Because it was like NYC .,0
I am very expecting to see that .,1
"But , I really want to learn English well .",1
Luckily we did not get hurt but my friend dropped into the ocean .,1
"I am glad to thank and for their true friendship , and for helping me countless times , in research as well as in daily life .",1
And why is THIS white ?,1
"I think the Internet , development of medical technology , and mobile phones are the three main greatest things for us .",0
"If I can change my mind , I can live without anger .",0
I will be PM project manager for installing cctv system to occ,0
They will be there around minutes so I must go back again .,1
"I See , U See ?",1
"I hope someday you will join us , And the world will be as one ",0
I think it will be good experience .,0
my voice is not good to hear .,0
"I have a dream , a woman is body was upon me in a class .",0
It was nice weather in the morning but the weathe was suddenly changed .,0
Lots of work,0
"When I have plenty of time , I paint a picture .",0
Piano VS Guitar,0
The weather here is summer .,0
I am a very active person .,1
The reason for starting to write a diary is to improve my English communication skills .,1
"I said to my friend , What ! ?",1
"such as love triangle , love - hate drama in it .",0
I aim to get more than scores .,1
"It may be a good day , or it may not .",1
"Sorry for not writing , but I will try to reserve more time for this .",0
 ,1
"In Okinawa , the beginning of rainy season from today .",0
The genuine leader in maritime industry,0
and new knowledge comes into me .,1
My waiting is hovering around the end of the world,0
"But no one had evidences , because the trading is done by oral .",0
It was about my cell phone .,1
"The first game , Roger Federer won Nadal , to .",0
"Yes , it is true .",1
There are numerous viewing spots for cherry trees in Kyoto .,1
Try it !,0
I met an American people who can learn to write and speak Thai very well last week .,0
They should eat nothing since becoming imagoes .,0
I still regret the loss of a girlfriend .,1
 . Why ?,1
What makes me feel happy the most is lunch out with my family .,1
"Moreover the the author puts a , .",0
A lot of mummies made from toilet tissue made us laugh .,1
"Got ta get up , get up",0
I hope it will be better soon .,1
We usually say hello by waving our hands when we greet other people with a smile .,1
I had a good time ! ! ,1
If you would like to make your,0
"Good , I liked the party , but they would like to go home .",1
"I have not come to her school yet , so I am really looking forward to it .",0
What is your character and role in the story ?,1
Lang is growing up and improving step by step !,1
"Therefore , not only the student but also an adult person plays together .",1
Slight backache,1
i ca not be bothered to do anything ! !,0
"The typhoon sometimes cause damage , and it is afraid .",0
I am worried whether she can be on her good behavior,0
"Namely , thanks to singing , I could improve my life .",0
But I must go to school to study neurological disorders now .,1
We did not say hello to each other .,1
My first time coming here,1
That s it .,0
Then I hit my toe on his knee and hurt myself .,1
Maybe we will increase human culture quickly .,1
Even as I have studied English long time when I knew that I thought that What a predicament !,0
Google translate,1
"If you like , please become my friend and help each other .",0
"Then , with a pleasant spring - scented air , I went out with a notebook of paper .",1
that kind of stuff .,0
"You can practise everywhere , ",1
 ,0
They costs yen or yen each ,0
 weeks passed away .,1
"I have been interested in this volunteer work for a long time , but I did not have much time to do it because I was busy .",1
One of them is reading an English - language newspaper .,0
I think should not compare movie and novel .,0
I could feel your aloneness and frustration .,1
I hope I do not see many fights in this show .,0
The dictionary contains a lot of words .,1
I wrote about this in an article .,1
it was nightmare .,0
"It is a good opportunity , I think , so I start an English diary ",1
I slept in our living room for only one hour .,1
I am already years old man and thinking such thing would seen strange .,0
 What do you think is the most rewarding part in your career ? ,1
Maybe I am crazy ,1
Today Chiba city area have heavy rain .,0
Now I am going to talk about a planning .,0
I have neve watched professinal surfing competition on TV .,0
I rode a motorcycle from Barstow .,1
"Very beautiful , ",0
"But , the path to wisdom can t be smooth , I guess .",1
"If we wish god our happiness and prosperity , we put both hands together like in the photograph and close our eyes .",1
I wonder how the dolphins are trained like that .,1
Nothing to do,0
Best regards ? ,0
So I studied that .,0
It inspired me a lot .,1
"Once , people needed to spend lots of time on those processes , but now by using computers they reduce the time on these work .",0
I had a little headache,0
free bus,0
Please accept the reward .,0
But I had problems to understand it or I do not know the reason .,0
"AV board , shelf and rack .",1
"These effects of healing and beauty , many good things .",1
"But , it is boring .",0
"Probably I will make a lot of mistakes , because my English is not very good .",1
"Because it is a hobby , I do not need to make myself put in a corner too hurry ",1
I did the best job I have ever done .,1
I write a graduation thesis .,0
I live in Russia and work in a plant .,1
"xoxo This is more of an Italian Mafia , two kisses and two hugs in turn .",1
It seems I am going into a paradox .,1
I feel sad about this story .,1
 comma before never to ,0
Her son is family lives next door .,1
B Man does not live on bread alone .,0
Poor My Friend John,0
"The runtime , however , is just min so it is not a drawn - out flick .",0
Many of these are oil paintings .,1
"In , the program landed Neil Armstrong , the first human being , on the surface of the moon .",0
I have not finished this part completely though .,1
We are going to do camera installation today .,1
Today I will introduce myself .,0
I think to grow up is a bit cruel .,0
"Another reason is that I love my country , Japan .",1
"They did not understand what was going on , just like me .",1
"So , I have been away from writing here .",1
Are you wedding ?,1
People go to the stadium and have a drink more than or hours before the game starts .,1
Yesterday was New Year is day .,1
Going out drinking on Friday nights became our pleasure after lessons .,1
I was not conscious until my roommate woke me up .,1
I finally got my broken cellphone shipped today .,0
"I HATE pills , hate them .",0
I have had my own blog for a very long time .,1
Do you think they are beautiful ?,1
 th .wed . June . Karaoke,0
"Or , is it helpful to study Chinese simultaneously for studing English ?",0
"Hey , my friends ! How are you ?",1
"That is because I decided it myself , no doubt about it .",1
"Now , K - TV program is broadcasting .",0
"Yesterday , I answered a telephone interview , which came from a special company named Oglive Advertising agency .",1
You can see my kitty on the photo .,0
"And I secretly mumbled , I conquered my father s enemy . ",1
I think that wanting to say and corrected sentence are sometimes different .,1
Has anyone developed iPhone apps ?,1
"For the whole day I did not want to do any work at all , and now I realized that I was playing all the time .",1
I could not stand it .,1
Our band played five of our own songs .,1
It is two weeks since I started playing FFXIII .,1
Today is freezing . I thought the weather was still warm and comfortable yesterday .,1
So I am learning dancing .,0
It has a subtitle in English .,1
We filled the remaining time by going to a museum to appreciate art .,1
I have learned the ocarina for and a half years .,1
"I did ' t see the teacher floating in the lesson , but the teacher floating picture stuck on the wall of the studio .",1
There seems to be more politicians of the sort other than him .,0
I did not understand then i did not like her .,0
Because there was a wonderful teacher he liked .,1
"We drank , we ate , we played , until around am is passed .",0
Flexible activity leg hand shoulders knees ligament .,1
"Previous self could not imagine , could not go anywhere , everything became possible .",1
"Though the predecessor is the superior man , I will do my best .",1
"Also , the word is now even a key concept in understanding girls ' fashion in Japan .",0
Her facial expression was very cute and I was very impressed by her .,1
What are the causes of these symptoms ?,0
"As for my English writings , I take easy .",0
So what does that improved screening mean ?,1
Who is your favourite singer ?,1
I hope to be at once get up,0
We ate in Mac - ,1
"When he skis down the slope , it clocks over kilometers an hour .",1
Just now I thought it could be finished .,1
I hope my college life will be wonderful !,1
"When I like them , they do not like me , when they like me , I do not like them",0
"I do not like watching most Chinese TV plays , including the ones made in Hong Kong or Taiwan . They are often idol dramas , soap operas , or describing the same story in ancient times or modern times for thousands of times .",1
"I have never watched musical , but it was so nice .",0
University liblary to study for coming master course entrance exam .,0
"Probably , I am going to miss them .",1
One of them was a family with my surname .,0
I had a great day today . !,1
One is Korean but I thought he was Japanese when I saw him first !,0
I am listening to a song which is about a couple .,0
One of the reasons is that there is more waste water today than at any other time in the history of our planet .,0
"When a man shows interest in a woman is feelings and heartfelt concern for her well - being , she feels loved and cared for .",0
It seems that there are many parents who name their baby after someone .,1
A Leader,1
But my vocabulary was too small to make conversation interesting .,1
Long time no see,0
She has always loved him .,0
"The energy expenses can be calculated with the METs formula , which I will describe more in the next section .",1
because today is on Saturday .,0
It is getting cold at night in Japan .,0
I am a very interesting in the culture in USA .,0
"I went there after long absence , but it did not change a bit .",0
"The other day , my friend of Lang asked me a gathering of his Lang friends .",0
And as usual he was so exhausted .,0
It was so snowing and nobody went out .,1
The time to decide,0
"Therefore , the author was sure to give the source of each of the quotations .",1
It is said that emberming was famous in America .,1
I m a prospective employee,0
Hi ,1
I did not think that Japan won this .,0
How wonderful !,1
Translate the following sentences into English .,1
"So , I was always greatly impressed with their messages and could get new expression .",0
has some fruits .,0
And I learned the names of three streets .,1
"Until one day evening , mother told me that father was written on the Shaoxing Evening Newspaper .",0
Another boring day at work with nothing much to do but harrassed !,0
"It is her birthday is present , and very cute .",0
It is very hard .,0
There are so many parties in March .,1
And it is very important to me .,0
Nice to meet you !,0
I want to be useful for something .,1
I Have to Apologize to the Germans,0
But fortunately I won the game .,0
But no matter .,1
"Recently , I have not been working , studying or surfing the internet , but have been playing games and watching films in my dormitory .",0
I walked the path in nature and breathed deeply .,1
i very stressed this .,0
"Last night , my laptop got crazy .",1
"Maybe we are far from each other , but we can communicate conveniently .",0
It has not gotten on Lufthanza any longer .,0
"The film was set in the spring - autumn and warring states periods in China , about years ago .",1
"Cultural differences , again ?",1
May I speak . ?,0
Japan lost the game to Paraguay .,0
My English is so terrible .,0
The Language school started today .,0
" This book is easy to get in my home country , so I do not have to order it from the country where it was published .",1
"And I finally got to release the huge burden , when my teacher postponed the deadline .",1
I always want to need someone is advice and help .,0
Is five years long ?Is it long enough to encounter with the people who will marry with me ?I think it is a big problem .,0
Today I suffered from toothpain .,0
A day to remember ,0
"At first nothing was on the desk , but only was a desktop computer .",0
Do not blame her for not feeling better .,1
"Although I would love to write about it , I do not have much time because I have to take my dog , and I also have an online lesson for today .",1
"So when I start eating some snacks , I eat it all .",1
"I am excited for new life , but at the same time I feel nervous a little bit .",0
"However , I m not sure exactly when she had puppies .",1
Why do my skills not glow up ?,1
And I really want my Japanese keyboard ! . ,1
because I watchde no korean caption,0
How many . ?,1
I wanted to play basketball but I was afraid of heat stroke .,1
"After reading the article , we are going to discuss this topic , so I am writing what I thought .",0
My mother said Your teacher is right because she want you to be a better student .,0
I feel terrible .,0
I feel my foot very chilly .,0
This matter is just disagreeable .,1
Then I introduced myself .,1
"Even though I would read only the beginning parts of it , I was fascinated by it .",1
I m very careful with my duties every time .,1
I hope that all of them would win .,0
So I want to improve my English .,0
"There are a lot of coffee shops in Japan , especially in the city part .",1
More than - percent of the tiny organisms living in the rivers are nonnative .,1
"detail doing taekwondo is good , waking up early is good",0
She always gets along very politely .,1
"Half an hour later , they came to connect a cable to charge the battery .",1
"As for me , I always wash it every time after I wear it .",1
We were educated when we were born .,1
There are many different festivals in China .,0
An American swimmer attained gold medals .,1
" organizing training courses , conferences",1
Do you think so ?,0
It s also good for being on time because there is no chime in this school .,0
fortune We could find a good house by good fortune .,0
"question Though the number of members was three , can I use the word party ?",1
" I mean , they had to memorize the paragraph at home .",0
I want to know the words of a song reason .,0
collecting enormous materials related to rival intelligence or battlefield data .,1
Thus let me introduce other stuffs about Cambodia trip .,0
It is like a practice .,1
I hope one day I can be able to play any songs with my flute .,0
It is the most notherly cape in Japan .,0
They already play Christmas music . ,0
Summer vacation,1
I want to see my parents .,0
"First , I did not figure out what happened , but it made me more exsiting .",0
Help me,0
I was disgusted with this clerk .,1
I respect her .,0
"Of course , it is comfortable for me .",1
"Anyway , his English is very comfortable to me .",0
It was second time to go the Maldives ,0
This is my first diary .,1
I will show you some of my pictures .,1
"Doing a little exercise every day so as not to develop health problems is something that all of us should consider Moreover , there are many opportunities for keeping fit such as fitness , taking part in different sport activities .",0
The bear attack in Japan . Part ,1
Does it sound exaggerated ?,1
"For I wish the author had written more about it , he wrote .",0
It is The family way written by Tony Peasons .,0
I do not have the talent like him .,1
I knew that there were many people who were studying Japanese .,0
"My lab is on second floor but there are no restrooms on second floor , so I have to go to the first floor or third floor when I want to go to restroom .",0
I am very tired these days .,1
It does not suffice by one millimeter .,0
Do they say Happy Tuesday if Wednesday is their holiday .,0
"Due to my language restriction , I do not have capability for doing heavy workl",0
Not Joe King But King Joe .,0
"I am not good at being cold , but that does not mean I am good at being hot .",0
The S - A Center is a place where people who are studying a language can practice any skill they want .,0
Food and power are shortages . Some places curb water purchases .,1
Should I go out with him ?,0
Five ants had lined up on the road .,0
That is it .,0
It was a golden week for almost one week here in Japan .,0
Now I have time so I have been putting them away and disposing of them .,0
We prepared dinner by ourselves .,0
sick of itlol,0
and just go home,0
I want to play again soon .,0
I just registered right after I got to know this site,0
"The people often have over weight , bad health and bad immune system .",0
"Today , I will work at night shift .",0
"Still , I can not see my site .",0
And I will take the speaking test in here at CNE on thursday .,0
They almost do not speak Japanese .,1
I am going home now to do a job .,1
"but I need , really need .",0
"When I ca not speak English enough time , I become very nervous and anxious about maybe I wo not be able to speak English tomorrow .",0
"Violent video games are considered to be worse than the violent scenes in TV programs or movies because video games need interaction , concentration , and players have to identify themselves with aggressors .",1
"And A is near by our house , but B is far away from our house , and then of course it is more comfortable to go to A .",1
INTRODUCE MY COMPANY - URGENT,0
I am sure that I can get one of them in two days because I have already received a letter says they will come back again to give it to me .,0
I am a high school student in Japan .,1
"Perhaps , you might say Do ask Wikipedia ! I know it might be the easiest way to know clearly , but I dare to ask you American because I really want to hear the voices of the raw opinions .",0
"As I wrote in last diary , I went to see a fireworks in Sydney Harbour .",0
They do not understand but can speak .,1
"Therefore , the few days around Christmas day are the hardest days of the year for me , almost every year .",1
"When I open the window , I can even smell it ! !",0
Chrono Trigger ,0
"But if he knew it , it would interfere with his ability to do so .",1
He is American .,1
When can I make my dream come true ?,1
That is why I stifully refused my boss is request to work !,1
"Tonight , I will go to watch a basketball game , Hannaryz vs Phoenix .",1
He said The potential is huge .,0
"When the inclination prompts , I will write diary again .",0
Nice to meet you ! !,0
It is the judgment of the boss not to join .,1
No problem and I use the computer only sometimes .,1
Easy mode is for primary school boys only .,1
thank you .,0
"Because of the class level , when a tutor teaches , she usually uses Korean .",1
"As you know , generally , Japanese people believe in Buddhism but they have a good time then .",1
Probably I might change the bubble doll .,1
I am sure he loves playing with me and I enjoy playing with him .,1
Sleep talking,1
very soon !,0
"One day , he finds a cat on the street .",1
"Before that , I have something to tell you .",0
We ate some dishes .,1
"But after they release their eighteenth single which is one of the top five best - selling singles of in Japan , they became more and more popular .",0
I think .,1
